Test Name,Test ID,Algorithm Name,Degree,timeIntervalSizeSec,segmentSizeSec,Tmin Factor,numberOfPointsPerSegment,initialNumberOfPoints,Number of Points,runTimeSec,runTimeMicro,numberOfIterations,avgTimeMicro,minTimeMicro,TCA Distance,TCA Time,TOLd,TOLt
STARLINK-30375          _STARLINK-30364          ,2027,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107311,0.129071999999999992292387673842,129072.000000000000000000000000000000,10,119706.600000000005820766091346740723,114067.000000000000000000000000000000,11676.658524133663377142511308193207,2417498.823250256013125181198120117188,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _STARLINK-30308          ,2028,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107340,0.133152999999999993585575452926,133153.000000000000000000000000000000,10,120173.100000000005820766091346740723,114134.000000000000000000000000000000,5565.596110865629270847421139478683,2416885.899098132271319627761840820312,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _STARLINK-30361          ,2029,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107231,0.135868999999999989780619102930,135869.000000000000000000000000000000,10,120286.199999999997089616954326629639,113969.000000000000000000000000000000,12731.061067533022651332430541515350,2417631.803710476495325565338134765625,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _STARLINK-30363          ,2030,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,102550,0.110588000000000005740297126522,110588.000000000000000000000000000000,10,106709.000000000000000000000000000000,106215.000000000000000000000000000000,1.459945959795815983994771158905,1680223.363789094146341085433959960938,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _STARLINK-30362          ,2031,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107313,0.136141000000000012004619520667,136141.000000000000000000000000000000,10,120576.800000000002910383045673370361,114278.000000000000000000000000000000,13480.276257224109940580092370510101,2417758.982582452706992626190185546875,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _STARLINK-30350          ,2032,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107382,0.135693000000000008054001909841,135693.000000000000000000000000000000,10,120412.300000000002910383045673370361,114174.000000000000000000000000000000,1.169578754724680980103812544257,1270707.469166862312704324722290039062,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _STARLINK-30307          ,2033,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107285,0.137304000000000009373835041515,137304.000000000000000000000000000000,10,119848.500000000000000000000000000000,114004.000000000000000000000000000000,13219.406529245374258607625961303711,2417739.077227169182151556015014648438,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _STARLINK-30356          ,2034,SBO ANCAS,15,2419200.000000000000000000000000000000,359.385179169244906915992032736540,0.062500000000000000000000000000,16,100966,107330,0.136880000000000001669775429036,136880.000000000000000000000000000000,10,120024.500000000000000000000000000000,114264.000000000000000000000000000000,13560.455604327729815850034356117249,31695.987388201923749875277280807495,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _STARLINK-30366          ,2035,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107289,0.134226000000000011969092383879,134226.000000000000000000000000000000,10,120123.300000000002910383045673370361,114034.000000000000000000000000000000,5750.560604312062423559837043285370,4769.788316874660267785657197237015,0.000000010000000000000000209226,0.000100000000000000004792173602
STARLINK-30375          _STARLINK-30357          ,2036,SBO ANCAS,15,2419200.000000000000000000000000000000,359.386850095052750475588254630566,0.062500000000000000000000000000,16,100966,107334,0.125415999999999999703348407820,125416.000000000000000000000000000000,10,116604.399999999994179233908653259277,114240.000000000000000000000000000000,10838.083396214296953985467553138733,3410.962131803808460972504690289497,0.000000010000000000000000209226,0.000100000000000000004792173602
